Tipo de item,Chave da item,ID da item,Resumo,Responsável,ID do responsável,Status,Criado,Atualizado(a)
Subtask,SCRUM-122,10640,[BACK] Revisão de relacionamento entre as entidades,Daniel Lima,712020:fd6cfe7d-d83a-47df-8a50-b178d62cc901,Concluído,04/abr/26 6:44 PM,04/abr/26 9:04 PM
Subtask,SCRUM-120,10637,[BACK] Auxiliar nos endpoints de ordem,Daniel Lima,712020:fd6cfe7d-d83a-47df-8a50-b178d62cc901,Concluído,04/abr/26 3:42 PM,05/abr/26 10:06 PM
Subtask,SCRUM-119,10635,[BACK] Realizar o CRUD de ordem ,Thomas Gustavo Heinrich,712020:df72e204-1c03-410a-891c-93749b6646c8,Concluído,04/abr/26 3:41 PM,05/abr/26 10:06 PM
Subtask,SCRUM-118,10633,[FRONT] Tela para cadastrar novas competencias,Pedro Henrique Ribeiro,712020:32fcc351-eb14-45ad-afa1-ec038a5cb5bb,Concluído,04/abr/26 2:07 PM,04/abr/26 2:28 PM
Subtask,SCRUM-117,10632,[FRONT] Tela para visualizar competencias,Pedro Henrique Ribeiro,712020:32fcc351-eb14-45ad-afa1-ec038a5cb5bb,Concluído,04/abr/26 2:06 PM,04/abr/26 2:28 PM
Subtask,SCRUM-116,10599,[FRONT] Tela para cadastrar novos técnicos,Pedro Henrique Ribeiro,712020:32fcc351-eb14-45ad-afa1-ec038a5cb5bb,Concluído,04/abr/26 12:19 AM,04/abr/26 11:02 PM
Subtask,SCRUM-115,10598,[BACK]Criar entidade para maquina histórico,Daniel Lima,712020:fd6cfe7d-d83a-47df-8a50-b178d62cc901,Concluído,03/abr/26 11:46 PM,04/abr/26 3:40 PM
Subtask,SCRUM-113,10595,[BACK]criar entidade de tabela relacional entre maquina e software,Daniel Lima,712020:fd6cfe7d-d83a-47df-8a50-b178d62cc901,Concluído,03/abr/26 11:32 PM,04/abr/26 3:42 PM
Subtask,SCRUM-112,10593,[DOC] Realizar as documentações do projeto no github e jira,Patricia Viegas,712020:96377b47-d404-480a-915c-529a5c57d4dc,Concluído,03/abr/26 11:14 PM,05/abr/26 10:05 PM
Subtask,SCRUM-111,10591,[BACK] Fazer refactor na tabela de técnico/funcionario,Thomas Gustavo Heinrich,712020:df72e204-1c03-410a-891c-93749b6646c8,Concluído,03/abr/26 11:05 PM,04/abr/26 12:54 AM
Subtask,SCRUM-110,10589,[BD] Criar tabela de ordem de serviço no banco,William Honda,712020:824a5ef7-1adb-4c5b-94d5-d78f0ae7374d,Concluído,03/abr/26 10:32 PM,04/abr/26 6:22 PM
Subtask,SCRUM-109,10555,[FRONT] Criar a tela de visualização de catálogo de sistemas,Pedro Henrique Ribeiro,712020:32fcc351-eb14-45ad-afa1-ec038a5cb5bb,Concluído,03/abr/26 8:58 PM,03/abr/26 11:02 PM
Subtask,SCRUM-106,10517,[BACK] Criar endpoint de maquinas contrato,Daniel Lima,712020:fd6cfe7d-d83a-47df-8a50-b178d62cc901,Concluído,03/abr/26 11:19 AM,04/abr/26 9:04 PM
Subtask,SCRUM-104,10481,[BACK] correção do back de cliente após mudança do BD,Pedro Henrique Ribeiro,712020:32fcc351-eb14-45ad-afa1-ec038a5cb5bb,Concluído,03/abr/26 12:41 AM,03/abr/26 12:41 AM
